user_id,song_id,interaction
example_user_id,4gh0ZnHzaTMT1sDga7Ek0N,playlist
example_user_id,2cYqizR4lgvp4Qu6IQ3qGN,playlist
example_user_id,27a1mYSG5tYg7dmEjWBcmL,playlist
example_user_id,11kDth1aKUEUMq9r1pqyds,playlist
example_user_id,2xLMifQCjDGFmkHkpNLD9h,playlist
example_user_id,4MXhiYIRDMGAuvZc5IFTwC,playlist
example_user_id,6wsqVwoiVH2kde4k4KKAFU,playlist
example_user_id,1i9lZvlaDdWDPyXEE95aiq,playlist
example_user_id,0bkV1iQHSxBaksUqgEkcbc,playlist
example_user_id,04WxWo7XeVyx22xEsrWRUb,playlist
example_user_id,76gcXhY3Zv6wW0BTe9nHJo,playlist
example_user_id,4kjI1gwQZRKNDkw1nI475M,playlist
example_user_id,6cZH4rX1KTt1aJ3Ql6Ynja,playlist
example_user_id,0jAfdqv18goRTUxm3ilRjb,playlist
example_user_id,2xB46Bj9HZ4cr058yN4Pla,playlist
example_user_id,6PqRhA7KUAhWaD0iQeQ6cR,playlist
example_user_id,2d8JP84HNLKhmd6IYOoupQ,playlist
example_user_id,0w3Q3VFdrYzo24QUIGnBNy,playlist
example_user_id,6iaSML1PIYq936g62BDtBq,playlist
example_user_id,6wQlQrTY5mVS8EGaFZVwVF,playlist
example_user_id,5WQrDB34o6M8V0jxNiX6RU,playlist
example_user_id,4xqIYGwwZTEem9U8A42SPF,playlist
example_user_id,1e1JKLEDKP7hEQzJfNAgPl,playlist
example_user_id,3yk7PJnryiJ8mAPqsrujzf,playlist
example_user_id,00GOPLxW4PGQuUYdPJh8K1,playlist
example_user_id,5cc9Zbfp9u10sfJeKZ3h16,playlist
example_user_id,7KXjTSCq5nL1LoYtL7XAwS,playlist
example_user_id,2HbKqm4o0w5wEeEFXm2sD4,playlist
example_user_id,2g6tReTlM2Akp41g0HaeXN,playlist
example_user_id,4ea9w8c4ROqiZpJVhfBA3m,playlist
example_user_id,3s4mrPrEFFPF0LmAfutW0n,playlist
example_user_id,1GeNui6m825V8jP4uKiIaH,playlist
example_user_id,7zjEyeBsaw9gV0jofJLfOM,playlist
example_user_id,7AzlLxHn24DxjgQX73F9fU,playlist
example_user_id,527k23H0A4Q0UJN3vGs0Da,playlist
example_user_id,7hxHWCCAIIxFLCzvDgnQHX,playlist
example_user_id,5qHirGR7M9tdm6C17DlzSY,playlist
